complaint_id,text,category,sentiment,status,date,location,language,source
KR_00016,재난 대응 시스템 개선이 필요합니다. 신속한 조치를 요청합니다.,안전,positive,접수,2025-01-18,울산 남구,ko,국민신문고
EE_00145,The e-government portal is experiencing technical issues. The system response time is too slow.,Digital Services,positive,submitted,2025-05-05,Rakvere,en,Estonian e-Gov Portal
KR_00133,민원 처리 속도가 너무 느립니다. 업무 효율성을 높여야 합니다.,행정,positive,접수,2024-10-01,전북 전주시,ko,국민신문고
KR_00529,온라인 행정 시스템이 불편합니다. 접근성을 개선해 주세요.,행정,negative,처리중,2025-03-09,제주시,ko,국민신문고
KR_00118,울산 남구 공원 관리가 제대로 되지 않고 있습니다. 주민 건강이 위협받고 있습니다.,환경,positive,완료,2024-11-11,울산 남구,ko,국민신문고
KR_00047,도시 녹지 공간을 확대해 주세요. 시민 참여 방안을 마련해 주세요.,환경,negative,처리중,2024-10-23,서울 강남구,ko,국민신문고
KR_00462,재활용 분리수거 시스템 개선이 필요합니다. 체계적인 관리가 필요합니다.,환경,negative,접수,2025-06-17,부산 해운대구,ko,국민신문고
EE_00159,Medical records access should be simplified. System integration issues exist.,Healthcare,negative,submitted,2025-07-20,Keila,en,Estonian e-Gov Portal
KR_00063,보육료 지원이 실제 필요한 가정에 제대로 전달되지 않습니다. 소득 기준을 현실화해야 합니다.,복지,positive,처리중,2024-10-19,전남 여수시,ko,국민신문고
EE_00043,Electronic ticketing system has issues. Better coordination required.,Public Transport,neutral,in_progress,2025-05-11,Tartu,en,Estonian e-Gov Portal
KR_00027,주차 공간 부족 문제를 해결해 주세요. 긴급한 대책 마련이 필요합니다.,교통,negative,처리중,2025-07-28,경기 용인시,ko,국민신문고
KR_00522,충북 청주시 지역 신호등 체계 개선이 필요합니다. 시민들의 불편이 가중되고 있습니다.,교통,negative,처리중,2025-06-16,충북 청주시,ko,국민신문고
KR_00421,복지 지원금 신청 절차가 복잡하여 어려움을 겪고 있습니다. 담당 공무원의 안내가 부족합니다.,복지,positive,완료,2025-07-25,서울 강북구,ko,국민신문고
KR_00263,대중교통 환승 시스템 개선이 필요합니다. 시민들의 불편이 가중되고 있습니다.,교통,negative,완료,2025-01-25,부산 해운대구,ko,국민신문고
KR_00002,충북 청주시 지역에 CCTV 설치를 요청합니다. 예방 대책을 마련해 주세요.,안전,negative,접수,2025-05-31,충북 청주시,ko,국민신문고
KR_00664,생활 소음 규제를 강화해야 합니다. 생활 환경이 악화되고 있습니다.,환경,negative,처리중,2025-07-29,광주 서구,ko,국민신문고
KR_00638,대중교통 환승 시스템 개선이 필요합니다. 사고 위험이 높아지고 있습니다.,교통,neutral,완료,2024-12-22,인천 연수구,ko,국민신문고
EE_00021,Recycling facilities are insufficient. Long-term planning is essential.,Environment,neutral,in_progress,2025-05-05,Sillamäe,en,Estonian e-Gov Portal
EE_00259,Public transport schedule in Keila needs adjustment. Service frequency is insufficient.,Public Transport,negative,resolved,2025-01-27,Keila,en,Estonian e-Gov Portal
EE_00287,Sustainable energy initiatives needed. Environmental impact is concerning.,Environment,neutral,in_progress,2025-04-09,Jõhvi,en,Estonian e-Gov Portal
EE_00273,Medical records access should be simplified. Technical support is inadequate.,Healthcare,negative,resolved,2025-08-28,Viljandi,en,Estonian e-Gov Portal
KR_00685,온라인 행정 시스템이 불편합니다. 디지털 전환이 시급합니다.,행정,negative,처리중,2025-07-07,울산 남구,ko,국민신문고
EE_00008,Insurance claim process is too complex. Technical support is inadequate.,Healthcare,negative,submitted,2025-02-23,Jõhvi,en,Estonian e-Gov Portal
EE_00158,Insurance claim process is too complex. User guidance is insufficient.,Healthcare,positive,resolved,2025-06-20,Sillamäe,en,Estonian e-Gov Portal
EE_00213,Online service for voting is not user-friendly. Integration with other services required.,Digital Services,negative,submitted,2025-08-19,Tallinn,en,Estonian e-Gov Portal
EE_00121,Green spaces maintenance is inadequate. Long-term planning is essential.,Environment,neutral,in_progress,2025-06-01,Sillamäe,en,Estonian e-Gov Portal
EE_00279,Accessibility features need improvement. Commuters face daily delays.,Public Transport,positive,submitted,2025-01-30,Rakvere,en,Estonian e-Gov Portal
KR_00306,복지 지원금 신청 절차가 복잡하여 어려움을 겪고 있습니다. 소득 기준을 현실화해야 합니다.,복지,positive,접수,2024-10-28,경북 포항시,ko,국민신문고
KR_00654,주차 공간 부족 문제를 해결해 주세요. 긴급한 대책 마련이 필요합니다.,교통,neutral,처리중,2025-05-02,울산 남구,ko,국민신문고
KR_00352,경기 성남시 도로 포장 상태가 매우 불량합니다. 장기적인 계획 수립을 요청합니다.,교통,negative,완료,2024-11-03,경기 성남시,ko,국민신문고
KR_00283,서울 강북구 공원 관리가 제대로 되지 않고 있습니다. 체계적인 관리가 필요합니다.,환경,negative,처리중,2025-06-20,서울 강북구,ko,국민신문고
KR_00689,보육료 지원이 실제 필요한 가정에 제대로 전달되지 않습니다. 담당 공무원의 안내가 부족합니다.,복지,negative,접수,2024-11-26,제주시,ko,국민신문고
KR_00073,공무원 응대 서비스 개선이 필요합니다. 투명성을 강화해야 합니다.,행정,negative,처리중,2025-08-04,울산 남구,ko,국민신문고
EE_00246,Real-time tracking system not accurate. Information display is inadequate.,Public Transport,neutral,in_progress,2025-01-15,Tartu,en,Estonian e-Gov Portal
EE_00059,Digital learning resources are outdated. Teachers need better training.,Education,negative,resolved,2025-05-22,Valga,en,Estonian e-Gov Portal
EE_00040,Digital learning resources are outdated. System crashes during peak times.,Education,neutral,in_progress,2025-03-18,Valga,en,Estonian e-Gov Portal
KR_00459,재난 대응 시스템 개선이 필요합니다. 사고 예방이 시급합니다.,안전,negative,완료,2025-04-17,경기 성남시,ko,국민신문고
KR_00599,의료비 지원 대상자 선정 기준을 완화해 주세요. 지역별 격차가 심각합니다.,복지,negative,완료,2025-03-10,대전 유성구,ko,국민신문고
KR_00261,전남 여수시 지역 신호등 체계 개선이 필요합니다. 경제적 손실이 발생하고 있습니다.,교통,negative,완료,2025-07-18,전남 여수시,ko,국민신문고
KR_00243,광주 서구 도로 포장 상태가 매우 불량합니다. 긴급한 대책 마련이 필요합니다.,교통,neutral,접수,2025-02-05,광주 서구,ko,국민신문고
EE_00152,Sustainable energy initiatives needed. Investment in infrastructure required.,Environment,negative,in_progress,2025-01-04,Keila,en,Estonian e-Gov Portal
KR_00368,행정 정보 공개를 확대해 주세요. 시민 중심 서비스가 필요합니다.,행정,neutral,접수,2024-10-10,강원 춘천시,ko,국민신문고
KR_00334,복지 지원금 신청 절차가 복잡하여 어려움을 겪고 있습니다. 온라인 신청 시스템 개선이 시급합니다.,복지,negative,접수,2024-11-25,부산 해운대구,ko,국민신문고
EE_00016,Electronic ticketing system has issues. System updates are urgently needed.,Public Transport,neutral,submitted,2025-01-15,Maardu,en,Estonian e-Gov Portal
KR_00458,보육료 지원이 실제 필요한 가정에 제대로 전달되지 않습니다. 서류 준비 과정이 너무 복잡합니다.,복지,positive,접수,2025-09-09,강원 춘천시,ko,국민신문고
EE_00182,Digital learning resources are outdated. System crashes during peak times.,Education,positive,in_progress,2025-03-25,Narva,en,Estonian e-Gov Portal
EE_00108,Digital ID authentication process needs improvement. User interface needs modernization.,Digital Services,positive,in_progress,2024-09-28,Kuressaare,en,Estonian e-Gov Portal
KR_00210,민원 처리 속도가 너무 느립니다. 디지털 전환이 시급합니다.,행정,neutral,접수,2025-08-12,경기 용인시,ko,국민신문고
KR_00313,생활 소음 규제를 강화해야 합니다. 주민 건강이 위협받고 있습니다.,환경,neutral,처리중,2025-06-21,경기 성남시,ko,국민신문고
EE_00154,The e-government portal is experiencing technical issues. The system response time is too slow.,Digital Services,neutral,submitted,2025-06-13,Maardu,en,Estonian e-Gov Portal
KR_00214,공무원 응대 서비스 개선이 필요합니다. 접근성을 개선해 주세요.,행정,negative,처리중,2025-05-06,전남 여수시,ko,국민신문고
KR_00008,어린이 보호구역 안전시설을 강화해 주세요. 예방 대책을 마련해 주세요.,안전,neutral,접수,2025-06-03,대전 유성구,ko,국민신문고
EE_00181,E-school platform needs technical improvements. Communication features are lacking.,Education,neutral,resolved,2025-02-01,Kohtla-Järve,en,Estonian e-Gov Portal
KR_00323,공공시설 안전 점검을 철저히 해주세요. 사고 예방이 시급합니다.,안전,negative,처리중,2025-07-30,광주 서구,ko,국민신문고
KR_00075,온라인 행정 시스템이 불편합니다. 투명성을 강화해야 합니다.,행정,positive,처리중,2025-02-13,전남 여수시,ko,국민신문고
