complaint_id,date,district,category,text,sentiment,resolution_days,smart_platform_used
C000001,2021-01-01,강북구,교통,잠실동 주변 불법 주차로 통행에 불편을 겪고 있습니다.,긍정,6,0
C000002,2021-01-01,강북구,기타,강남역 공공시설 예약 시스템 개선이 필요합니다.,긍정,3,1
C000003,2021-01-01,강북구,환경,역삼동 재활용 분리수거함이 항상 가득 차 있습니다.,긍정,4,0
C000004,2021-01-01,마포구,안전,교대역에 비상벨 설치를 건의합니다.,부정,2,0
C000005,2021-01-01,강북구,환경,강북구 하천 수질 개선이 필요합니다.,중립,5,0
C000006,2021-01-01,강남구,복지,장애인 편의시설이 청담동에 부족합니다.,중립,13,0
C000007,2021-01-01,서초구,복지,서초구 청년 일자리 지원 프로그램을 확대해주세요.,긍정,8,0
C000008,2021-01-01,마포구,교통,청담동에 횡단보도 신설이 필요합니다. 안전사고 위험이 큽니다.,중립,6,0
C000009,2021-01-01,마포구,복지,청담동 경로당 시설 개선을 요청드립니다.,중립,6,1
C000010,2021-01-01,강남구,복지,장애인 편의시설이 잠실동에 부족합니다.,긍정,12,0
C000011,2021-01-01,송파구,복지,신촌동 다문화가정 지원 센터 운영 시간을 연장해주세요.,긍정,5,1
C000012,2021-01-01,서초구,환경,서초구 미세먼지 저감 정책을 강화해주세요.,긍정,6,0
C000013,2021-01-01,강남구,기타,서초동 도서관 장서 확충 및 운영시간 연장을 부탁드립니다.,긍정,5,0
C000014,2021-01-01,서초구,기타,신촌동 도서관 장서 확충 및 운영시간 연장을 부탁드립니다.,중립,5,0
C000015,2021-01-01,강북구,환경,강북구 신촌동 쓰레기 불법 투기 문제가 심각합니다.,부정,4,0
C000016,2021-01-01,강북구,환경,잠실동 소음공해로 인한 피해가 큽니다. 조치 바랍니다.,중립,7,0
C000017,2021-01-01,송파구,안전,송파구 어린이 보호구역 안전시설을 강화해주세요.,중립,1,1
C000018,2021-01-01,마포구,기타,마포구 주민센터 주차 공간이 부족합니다.,중립,4,0
C000019,2021-01-01,송파구,복지,서초동 경로당 시설 개선을 요청드립니다.,부정,8,0
C000020,2021-01-01,강북구,교통,강북구 지역 교통체증이 심각합니다. 신호 체계 개선이 필요합니다.,긍정,6,0
C000021,2021-01-01,송파구,기타,강남역 공공시설 예약 시스템 개선이 필요합니다.,중립,3,0
